Timestamp,Frame,Class,Confidence,People Count
2025-10-26 01:49:31,16,person,0.61,4
2025-10-26 01:49:31,16,person,0.60,5
2025-10-26 01:49:31,16,person,0.60,6
2025-10-26 01:49:31,16,motorcycle,0.53,6
2025-10-26 01:49:31,16,motorcycle,0.46,6
2025-10-26 01:49:31,16,person,0.41,7
2025-10-26 01:49:31,16,person,0.40,8
2025-10-26 01:49:31,17,person,0.82,1
2025-10-26 01:49:31,17,person,0.78,2
2025-10-26 01:49:31,17,motorcycle,0.72,2
2025-10-26 01:49:31,17,person,0.65,3
2025-10-26 01:49:31,17,person,0.63,4
2025-10-26 01:49:31,17,person,0.60,5
2025-10-26 01:49:31,17,motorcycle,0.58,5
2025-10-26 01:49:31,17,person,0.57,6
2025-10-26 01:49:31,17,person,0.50,7
2025-10-26 01:49:31,17,person,0.45,8
2025-10-26 01:49:31,17,person,0.41,9
2025-10-26 01:49:31,18,person,0.82,1
2025-10-26 01:49:31,18,person,0.77,2
2025-10-26 01:49:31,18,motorcycle,0.70,2
2025-10-26 01:49:31,18,person,0.65,3
2025-10-26 01:49:31,18,person,0.57,4
2025-10-26 01:49:31,18,person,0.52,5
2025-10-26 01:49:31,18,person,0.51,6
2025-10-26 01:49:31,18,person,0.51,7
2025-10-26 01:49:31,18,person,0.45,8
2025-10-26 01:49:31,18,motorcycle,0.45,8
2025-10-26 01:49:31,18,truck,0.42,8
2025-10-26 01:49:31,19,person,0.82,1
2025-10-26 01:49:31,19,person,0.75,2
2025-10-26 01:49:31,19,person,0.67,3
2025-10-26 01:49:31,19,person,0.54,4
2025-10-26 01:49:31,19,person,0.54,5
2025-10-26 01:49:31,19,person,0.53,6
2025-10-26 01:49:31,19,person,0.52,7
2025-10-26 01:49:31,19,motorcycle,0.51,7
2025-10-26 01:49:31,19,person,0.50,8
2025-10-26 01:49:31,19,motorcycle,0.44,8
2025-10-26 01:49:31,19,person,0.40,9
2025-10-26 01:49:31,20,person,0.82,1
2025-10-26 01:49:31,20,person,0.75,2
2025-10-26 01:49:31,20,person,0.65,3
2025-10-26 01:49:31,20,person,0.56,4
